date,bc_active_addresses,bc_tx_count,bc_hash_rate,bc_fees_usd,bc_tx_volume_usd,bc_mempool_bytes,cm_mvrv,cm_active_addr,cm_stablecoin_cap,fear_greed,spx,dxy,vix,us10y
2020-07-16 00:00:00+00:00,,,,,,,,,,43.0,3215.57,118.9275,28.0,0.62
2020-07-17 00:00:00+00:00,,,,,,,,,,41.0,3224.73,119.124,25.68,0.64
2020-07-18 00:00:00+00:00,,,,,,,,,,44.0,,,,
2020-07-19 00:00:00+00:00,,,,,,,,,,41.0,,,,
2020-07-20 00:00:00+00:00,,,,,,,,,,44.0,3251.84,119.0483,24.46,0.62
2020-07-21 00:00:00+00:00,,,,,,,,,,44.0,3257.3,118.4042,24.84,0.61
2020-07-22 00:00:00+00:00,,,,,,,,,,50.0,3276.02,118.1337,24.32,0.6
2020-07-23 00:00:00+00:00,,,,,,,,,,55.0,3235.66,118.0613,26.08,0.59
2020-07-24 00:00:00+00:00,,,,,,,,,,53.0,3215.63,118.1329,25.84,0.59
2020-07-25 00:00:00+00:00,,,,,,,,,,55.0,,,,
2020-07-26 00:00:00+00:00,,,,,,,,,,55.0,,,,
2020-07-27 00:00:00+00:00,,,,,,,,,,58.0,3239.41,117.3869,24.74,0.62
2020-07-28 00:00:00+00:00,,,,,,,,,,76.0,3218.44,117.3189,25.44,0.59
2020-07-29 00:00:00+00:00,,,,,,,,,,71.0,3258.44,117.2126,24.1,0.58
2020-07-30 00:00:00+00:00,,,,,,,,,,76.0,3246.22,117.4008,24.76,0.55
2020-07-31 00:00:00+00:00,,,,,,,,,,75.0,3271.12,117.2082,24.46,0.55
2020-08-01 00:00:00+00:00,,,,,,,,,,75.0,,,,
2020-08-02 00:00:00+00:00,,,,,,,,,,80.0,,,,
2020-08-03 00:00:00+00:00,,,,,,,,,,75.0,3294.61,117.8074,24.28,0.56
2020-08-04 00:00:00+00:00,,,,,,,,,,72.0,3306.51,117.7833,23.76,0.52
2020-08-05 00:00:00+00:00,,,,,,,,,,75.0,3327.77,116.8736,22.99,0.55
2020-08-06 00:00:00+00:00,,,,,,,,,,79.0,3349.16,117.0422,22.65,0.55
2020-08-07 00:00:00+00:00,,,,,,,,,,77.0,3351.28,117.6239,22.21,0.57
2020-08-08 00:00:00+00:00,,,,,,,,,,77.0,,,,
2020-08-09 00:00:00+00:00,,,,,,,,,,79.0,,,,
2020-08-10 00:00:00+00:00,,,,,,,,,,78.0,3360.47,117.5821,22.13,0.59
2020-08-11 00:00:00+00:00,,,,,,,,,,84.0,3333.69,117.3781,24.03,0.64
2020-08-12 00:00:00+00:00,,,,,,,,,,75.0,3380.35,117.2559,22.28,0.69
2020-08-13 00:00:00+00:00,,,,,,,,,,75.0,3373.43,117.1193,22.13,0.71
2020-08-14 00:00:00+00:00,,,,,,,,,,78.0,3372.85,116.9395,22.05,0.71
2020-08-15 00:00:00+00:00,,,,,,,,,,79.0,,,,
2020-08-16 00:00:00+00:00,,,,,,,,,,82.0,,,,
2020-08-17 00:00:00+00:00,,,,,,,,,,83.0,3381.99,116.749,21.35,0.69
2020-08-18 00:00:00+00:00,,,,,,,,,,82.0,3389.78,116.5593,21.51,0.67
2020-08-19 00:00:00+00:00,,,,,,,,,,80.0,3374.85,116.567,22.54,0.68
2020-08-20 00:00:00+00:00,,,,,,,,,,75.0,3385.51,116.8126,22.72,0.65
2020-08-21 00:00:00+00:00,,,,,,,,,,81.0,3397.16,117.0572,22.54,0.64
2020-08-22 00:00:00+00:00,,,,,,,,,,78.0,,,,
2020-08-23 00:00:00+00:00,,,,,,,,,,76.0,,,,
2020-08-24 00:00:00+00:00,,,,,,,,,,78.0,3431.28,116.912,22.37,0.65
2020-08-25 00:00:00+00:00,,,,,,,,,,75.0,3443.62,116.8206,22.03,0.69
2020-08-26 00:00:00+00:00,,,,,,,,,,76.0,3478.73,116.6243,23.27,0.69
2020-08-27 00:00:00+00:00,,,,,,,,,,75.0,3484.55,116.649,24.47,0.74
2020-08-28 00:00:00+00:00,,,,,,,,,,74.0,3508.01,115.9374,22.96,0.74
2020-08-29 00:00:00+00:00,,,,,,,,,,79.0,,,,
2020-08-30 00:00:00+00:00,,,,,,,,,,75.0,,,,
2020-08-31 00:00:00+00:00,,,,,,,,,,75.0,3500.31,115.7586,26.41,0.72
2020-09-01 00:00:00+00:00,,,,,,,,,,75.0,3526.65,115.5687,26.12,0.68
2020-09-02 00:00:00+00:00,,,,,,,,,,83.0,3580.84,116.0304,26.57,0.66
2020-09-03 00:00:00+00:00,,,,,,,,,,79.0,3455.06,116.0685,33.6,0.63
2020-09-04 00:00:00+00:00,,,,,,,,,,40.0,3426.96,116.0347,30.75,0.72
2020-09-05 00:00:00+00:00,,,,,,,,,,41.0,,,,
2020-09-06 00:00:00+00:00,,,,,,,,,,41.0,,,,
2020-09-07 00:00:00+00:00,,,,,,,,,,41.0,,,,
2020-09-08 00:00:00+00:00,,,,,,,,,,41.0,3331.84,116.4618,31.46,0.69
2020-09-09 00:00:00+00:00,,,,,,,,,,38.0,3398.96,116.1291,28.81,0.71
2020-09-10 00:00:00+00:00,,,,,,,,,,38.0,3339.19,115.8806,29.71,0.68
2020-09-11 00:00:00+00:00,,,,,,,,,,41.0,3340.97,116.0866,26.87,0.67
2020-09-12 00:00:00+00:00,,,,,,,,,,41.0,,,,
